93557;БУЗ;8266;2022-02-22;;;Чита;
93556;БУЗ-41;224;2022-02-22;;;Чита;
93555;Инвертор ИН 110/220/5000/50;22155;2022-02-22;2022-02-25;;Чита;гв 06.18
93554;Инвертор ИН 48/220/5000/50;18803;2022-02-22;2022-02-25;;Чита;гв 10.16 Исправен
93553;Инвертор ПН-ПОЕТ-22-230-50-У1;102;2022-02-22;2022-03-01;;Чита;гв 06.07
93552;Модуль ПУ MCN-3.0;113;2022-02-21;;;Минеральные Воды;
93551;Модуль ПУ MCN-3.0;116;2022-02-21;2022-02-25;;Минеральные Воды;
93550;Операторская панель ABB CP430;6620200505;2022-02-21;;;Минеральные Воды;
93549;Сервер ИВС АВДБ.687280.032;146;2022-02-21;2022-02-24;2022-02-25;Ульяновск;Замена 3-х SATA-контроллеров.
93548;Прочее (см. примечания);;2022-02-21;2022-02-24;2022-02-25;Саратов;Блок отображения двухстрочный ТЯИЛ.467845.002
93547;Контроллер Siemens CPU226;U5C46488;2022-02-21;2022-02-25;;Саратов;
93546;Плата силового модуля СМПК.758725.039;103;2022-02-21;;;Саратов;
93545;Плата силового модуля СМПК.758725.039;2183;2022-02-21;;;Саратов;
93544;ПСПВ Ясень;;2022-02-21;;;Саратов;Только плата
93543;Бортовой изм. комплекс ХРАНИТЕЛЬ-1Р.1;144;2022-02-21;2022-02-23;2022-02-25;Саратов;Зам. и прош. памяти FM24C04B
93542;Блок БУЭВ-Г АВДБ.758800.100;10;2022-02-21;;;Саратов;
93541;Блок БУЭВ-Г АВДБ.758800.100;124;2022-02-21;2022-02-21;2022-02-25;Саратов;исправен
93540;Датчик ОДМ-3 ИТ7.102.725;;2022-02-21;;;Саратов;
93539;Устройство АУВ-110/4;3667;2022-02-21;2022-02-24;2022-02-25;Сыктывкар;
93538;Модуль УПР (БРНГ Кросна);;2022-02-21;2022-02-24;2022-02-25;Сыктывкар;
93537;Модуль ПИТ (БРНГ Кросна);;2022-02-21;2022-02-24;2022-02-25;Сыктывкар;
93536;Операторская панель B&R 4PP045;94980178045;2022-02-21;2022-02-22;2022-02-25;Сыктывкар;
93535;Блок БСИ в сборе (ГАМЕМ);1030;2022-02-21;;;Сыктывкар;БСИ2
93534;Сервер ИВС-2.01-Ш;176;2022-02-21;2022-03-01;;Киров;Замена 3-х жестких дисков и SATA-кабеля.
93533;Бортовой изм. комплекс ХРАНИТЕЛЬ-1Р;278;2022-02-21;;;Киров;
93532;Блок упр. авт. двери СПСТ.468361.016;707098;2022-02-21;2022-02-25;;Киров;
93531;Блок упр. авт. двери СПСТ.468361.016;907343;2022-02-21;2022-02-25;;Киров;
93530;Плата СУ ППН СМПК.758725.126 СМПК.468332.075;353;2022-02-21;;;Волгоград;
93529;Плата драйвера 2-к СМПК.758726.108 СМПК.435351.003;411;2022-02-21;;;Волгоград;
93528;Плата ПС-6РМ2 (ГАМЕМ);411757;2022-02-21;2022-02-21;2022-02-22;Смоленск;
93527;Плата драйвера ДТИ 1/12 СМПК.758724.024;619;2022-02-21;2022-02-21;2022-02-22;Смоленск;
93526;Модуль АВХ-4 (Экспресс);1460;2022-02-21;2022-02-21;2022-02-22;Смоленск;Замена источника питания.
93525;Операторская панель ABB CP430;6620500095;2022-02-21;;;Смоленск;
93524;Прочее (см. примечания);;2022-02-21;;;Москва-Николаевка;Инвертор ИС2-110-300Г
93523;Модуль МГ-12 (Латво);241;2022-02-21;2022-02-24;2022-02-24;Москва-Николаевка;
93522;Светильник встраиваемый светодиодный СВС-01;;2022-02-21;;;Москва-Николаевка;
93521;Светильник встраиваемый светодиодный СВС-01;;2022-02-21;;;Москва-Николаевка;
93520;Светильник встраиваемый светодиодный СВС-01;;2022-02-21;;;Москва-Николаевка;
93519;Светильник встраиваемый светодиодный СВС-01;;2022-02-21;;;Москва-Николаевка;
93518;Светильник встраиваемый светодиодный СВС-01;;2022-02-21;;;Москва-Николаевка;
93517;Светильник встраиваемый светодиодный СВС-01;;2022-02-21;;;Москва-Николаевка;
93516;Светильник встраиваемый светодиодный СВС-01;;2022-02-21;;;Москва-Николаевка;
93515;Светильник встраиваемый светодиодный СВС-01;;2022-02-21;;;Москва-Николаевка;
93514;Светильник встраиваемый светодиодный СВС-01;;2022-02-21;;;Москва-Николаевка;
93513;Плата ПС-6РМ2 (ГАМЕМ);211715;2022-02-21;2022-02-28;2022-03-01;Москва-Октябрьская;
93512;Прочее (см. примечания);;2022-02-21;2022-02-21;2022-02-22;Москва-Киевская;Источник питания, исправен
93511;Прочее (см. примечания);;2022-02-21;2022-02-22;2022-02-22;Москва-Киевская;Плата ИАЖТ.468872.002
93510;Подъемник инвалида ППТ-1ДП;56;2022-02-21;2022-02-22;2022-02-22;Москва-Киевская;
93509;Табло инф. ТИ-11-11-38М;;2022-02-21;2022-02-24;2022-02-24;Москва-Ярославская;
93508;Табло инф. ТИ-11-11-38М;9684;2022-02-21;2022-02-24;2022-02-24;Москва-Ярославская;
93507;Табло инф. ТИ-11-11-38S;10744;2022-02-21;2022-02-24;2022-02-24;Москва-Ярославская;
93506;Табло инф. ТИ-11-11-38S;5187;2022-02-21;2022-02-24;2022-02-24;Москва-Ярославская;
93505;Табло инф. ТИ-11-11-38М;;2022-02-21;2022-02-24;2022-02-24;Москва-Ярославская;
93504;Табло инф. ТИ-11-11-38М;7524;2022-02-21;2022-02-24;2022-02-24;Москва-Ярославская;
93503;Плата драйвера 4-к СМПК.758725.123 СМПК.468741.019;106;2022-02-21;;;Москва-Ярославская;
93502;Блок 2Б.231;2641;2022-02-21;2022-02-24;2022-02-24;Москва-Ярославская;
93501;Телевизор NEOVO X-1501;75100983;2022-02-21;;;Москва-Ярославская;
93500;Плата СУ ПП СМПК.468332.079 СМПК.758726.107;1170;2022-02-18;;;Воронеж;
93499;Модуль СК (ЗРК);1597;2022-02-18;2022-02-21;2022-02-21;Сервисный центр;Чита
93498;Модуль РМН-3 (ЗРК);1332;2022-02-18;2022-02-21;2022-02-21;Сервисный центр;Чита
93497;Модуль РНГ (ЗРК);1462;2022-02-18;2022-02-21;2022-02-21;Сервисный центр;Чита
93496;Плата упр. ВВ преобразователем СМПК.468332.120;81;2022-02-18;;;Сервисный центр;Адлер
93495;Сервер ИВС-2.01-Ш;19;2022-02-18;;;Петрозаводск;
93494;Плата СУ ПП СМПК.468332.079 СМПК.758726.107;930;2022-02-18;2022-02-28;;Ульяновск;
93493;Плата драйвера 4-к СМПК.758722.186 СМПК.468741.032;989;2022-02-18;2022-02-28;;Ульяновск;
93492;Плата драйвера 4-к СМПК.758722.186 СМПК.468741.032;1067;2022-02-18;;;Ульяновск;
93491;Плата СУ ПП СМПК.468332.079 СМПК.758726.107;1297;2022-02-18;;;Ульяновск;
93490;Прочее (см. примечания);;2022-02-18;;;Нижний Новгород;Корзина ЭКСПРЕСС в сборе
93489;Модуль МЗ-03 (Латво);167;2022-02-17;2022-02-21;2022-02-21;Сервисный центр;Казань
